Date,Open,Close,Volume,days,Buy_Sell
2019-01-22,113.120003,112.339996,7242000,3305,0
2019-01-23,112.379997,111.389999,6082300,3306,1
2019-01-24,111.029999,113.510002,8470700,3307,0
2019-01-25,114.059998,113.220001,6261800,3308,0
2019-01-28,111.910004,112.169998,6886600,3311,0
2019-01-29,113.029999,111.830002,5359900,3312,1
2019-01-30,112.529999,113.010002,7941700,3313,1
2019-01-31,113.800003,114.650002,11225600,3314,1
2019-02-01,116.650002,118.370003,10934300,3315,1
2019-02-04,117.5,119.739998,7987900,3318,0
2019-02-05,119.620003,119.480003,6887400,3319,0
2019-02-06,119.0,118.879997,4990400,3320,0
2019-02-07,118.010002,118.230003,7281900,3321,0
2019-02-08,117.739998,117.580002,5671000,3322,0
2019-02-11,116.93,116.949997,4859600,3325,1
2019-02-12,118.330002,118.720001,5400700,3326,1
2019-02-13,119.160004,119.57,5935900,3327,0
2019-02-14,118.370003,118.160004,5406500,3328,1
2019-02-15,119.620003,119.349998,6209800,3329,0
2019-02-19,118.900002,119.309998,4277800,3333,1
2019-02-20,119.309998,120.279999,5940600,3334,0
2019-02-21,120.07,119.139999,5139400,3335,1
2019-02-22,120.279999,119.389999,4517600,3336,1
2019-02-25,119.410004,119.620003,5196600,3339,1
2019-02-26,119.809998,119.940002,5445600,3340,1
2019-02-27,120.290001,120.080002,5289800,3341,0
2019-02-28,120.0,119.580002,6406500,3342,1
2019-03-01,120.389999,122.029999,7743600,3343,1
2019-03-04,122.669998,122.120003,7499500,3346,1
2019-03-05,121.870003,123.290001,7345200,3347,1
2019-03-06,123.169998,123.529999,7599900,3348,0
2019-03-07,123.419998,121.940002,7201100,3349,0
2019-03-08,120.099998,121.620003,7014100,3350,1
2019-03-11,122.870003,123.620003,6088600,3353,1
2019-03-12,123.839996,123.900002,6184300,3354,1
2019-03-13,124.599998,124.669998,4707000,3355,0
2019-03-14,124.760002,124.599998,5146400,3356,1
2019-03-15,124.589996,125.309998,10449700,3357,1
2019-03-18,125.209999,125.879997,5586900,3360,0
2019-03-19,126.559998,125.279999,5096800,3361,0
2019-03-20,125.040001,124.690002,6708500,3362,1
2019-03-21,124.870003,125.860001,5050400,3363,0
2019-03-22,124.849998,123.089996,5786800,3364,0
2019-03-25,122.93,122.889999,3837500,3367,1
2019-03-26,123.769997,124.129997,4079800,3368,0
2019-03-27,123.980003,122.790001,3727800,3369,1
2019-03-28,122.599998,123.019997,4057700,3370,1
2019-03-29,124.279999,123.18,5318600,3371,1
2019-04-01,123.870003,124.940002,5506300,3374,0
2019-04-02,125.199997,124.93,4362700,3375,0
2019-04-03,125.220001,123.889999,3595400,3376,1
2019-04-04,124.010002,124.800003,3715400,3377,1
2019-04-05,125.25,126.419998,5551400,3378,1
2019-04-08,126.769997,126.68,5483100,3381,0
2019-04-09,126.290001,125.540001,4143400,3382,0
2019-04-10,126.139999,125.489998,3970000,3383,1
2019-04-11,125.339996,125.989998,3248300,3384,0
2019-04-12,121.580002,119.760002,42693700,3385,1
2019-04-15,120.019997,120.139999,13369100,3388,1
2019-04-16,120.43,121.169998,11942900,3389,0
2019-04-17,122.199997,120.269997,11898100,3390,0
2019-04-18,120.519997,119.860001,9546500,3391,1
2019-04-22,120.779999,121.900002,7946200,3395,1
2019-04-23,121.730003,122.019997,9079200,3396,0
2019-04-24,121.349998,118.279999,22115000,3397,0
2019-04-25,118.050003,117.900002,10636400,3398,0
2019-04-26,118.400002,117.099998,11626700,3399,1
2019-04-29,117.010002,117.720001,9404000,3402,1
2019-04-30,121.099998,120.059998,21431500,3403,0
2019-05-01,119.800003,117.809998,10097000,3404,0
2019-05-02,117.279999,116.379997,9495600,3405,1
2019-05-03,117.690002,117.269997,7364900,3406,1
2019-05-06,117.5,118.400002,11035000,3409,0
2019-05-07,117.300003,118.269997,9165200,3410,0
2019-05-08,118.370003,117.5,6229000,3411,1
2019-05-09,121.120003,121.190002,16496300,3412,1
2019-05-10,121.169998,121.989998,8787900,3413,0
2019-05-13,121.910004,120.440002,7701200,3416,1
2019-05-14,120.669998,121.639999,6858500,3417,1
2019-05-15,121.199997,122.139999,6945000,3418,0
2019-05-16,120.989998,120.800003,8543300,3419,0
2019-05-17,120.059998,120.519997,6870900,3420,1
2019-05-20,120.709999,120.839996,4569700,3423,1
2019-05-21,121.029999,121.339996,4859400,3424,0
2019-05-22,120.900002,120.57,5763300,3425,0
2019-05-23,118.809998,117.870003,11000200,3426,1
2019-05-24,118.300003,118.709999,4890800,3427,0
2019-05-28,118.879997,118.309998,8145100,3431,0
2019-05-29,117.040001,116.769997,7451300,3432,0
2019-05-30,116.540001,115.379997,5807900,3433,0
2019-05-31,114.220001,113.849998,6899800,3434,1
2019-06-03,114.699997,115.989998,6100800,3437,1
2019-06-04,116.599998,117.300003,5235600,3438,1
2019-06-05,117.870003,117.650002,5105700,3439,1
2019-06-06,118.209999,120.68,7370100,3440,1
2019-06-07,120.739998,121.480003,5343100,3441,1
2019-06-10,122.199997,122.290001,5708800,3444,0
2019-06-11,123.370003,121.169998,5625100,3445,0
2019-06-12,120.379997,120.190002,4000100,3446,1
2019-06-13,121.239998,120.910004,3993300,3447,0
2019-06-14,121.0,120.809998,3366800,3448,1
2019-06-17,120.720001,121.389999,4219100,3451,1
2019-06-18,121.949997,122.93,4884300,3452,0
2019-06-19,122.510002,122.889999,3847100,3453,1
2019-06-20,124.309998,124.279999,7771700,3454,1
2019-06-21,124.800003,124.93,14287900,3455,0
2019-06-24,124.540001,124.910004,5542600,3458,0
2019-06-25,124.839996,123.639999,4713300,3459,1
2019-06-26,124.57,123.93,5054800,3460,0
2019-06-27,123.919998,123.110001,3551700,3461,1
2019-06-28,123.410004,124.440002,7048300,3462,1
2019-07-01,125.360001,124.839996,5526900,3465,0
2019-07-02,124.550003,122.93,5747700,3466,1
2019-07-03,122.93,123.349998,2725800,3467,1
2019-07-05,123.139999,123.540001,3458900,3469,1
2019-07-08,123.660004,123.599998,3505200,3472,0
2019-07-09,123.900002,123.349998,3955600,3473,1
2019-07-10,124.110001,125.440002,4743500,3474,0
2019-07-11,125.68,125.43,3548000,3475,1
2019-07-12,125.379997,125.980003,3974400,3476,0
2019-07-15,126.059998,125.720001,3739200,3479,0
2019-07-16,125.5,124.760002,4697600,3480,0
2019-07-17,124.660004,124.139999,3874200,3481,1
2019-07-18,124.120003,124.68,5770700,3482,1
2019-07-19,124.68,125.040001,4880900,3483,1
2019-07-22,125.370003,125.309998,3275800,3486,1
2019-07-23,125.239998,125.82,4295300,3487,1
2019-07-24,125.870003,126.540001,4796900,3488,0
2019-07-25,127.0,125.629997,4586800,3489,0
2019-07-26,125.239998,123.720001,6971700,3490,1
2019-07-29,123.480003,124.230003,4377500,3493,1
2019-07-30,124.099998,124.339996,3871700,3494,0
2019-07-31,123.709999,123.110001,7199500,3495,0
2019-08-01,122.0,120.739998,7928400,3496,0
2019-08-02,121.779999,120.730003,9026200,3497,0
2019-08-05,119.190002,118.739998,8620300,3500,1
2019-08-06,118.720001,119.379997,6788000,3501,0
2019-08-07,117.550003,119.099998,6853700,3502,1
2019-08-08,119.489998,123.230003,8868100,3503,0
2019-08-09,123.110001,122.419998,5051700,3504,0
2019-08-12,123.010002,121.550003,3936500,3507,1
2019-08-13,121.010002,122.389999,5806400,3508,0
2019-08-14,120.019997,117.739998,7175600,3509,0
2019-08-15,117.239998,116.949997,6272600,3510,0
2019-08-16,116.400002,115.809998,6239100,3511,1
2019-08-19,117.129997,117.309998,6443700,3514,0
2019-08-20,117.129997,116.129997,5150900,3515,1
2019-08-21,117.790001,117.879997,4578400,3516,0
2019-08-22,118.660004,117.730003,4362100,3517,0
2019-08-23,116.480003,115.18,7653400,3518,1
2019-08-26,115.919998,115.739998,3966400,3521,1
2019-08-27,116.269997,115.830002,4237100,3522,1
2019-08-28,116.410004,116.830002,4153500,3523,1
2019-08-29,117.190002,117.519997,4467300,3524,1
2019-08-30,117.980003,117.720001,4881100,3525,0
2019-09-03,115.769997,116.269997,5672500,3529,1
2019-09-04,117.480003,117.25,4595600,3530,1
2019-09-05,118.010002,117.639999,5394300,3531,1
2019-09-06,117.5,118.260002,4578200,3532,1
2019-09-09,118.739998,119.389999,5048000,3535,1
2019-09-10,120.230003,121.849998,8728800,3536,0
2019-09-11,122.209999,121.279999,5509500,3537,1
2019-09-12,120.040001,121.419998,5818300,3538,1
2019-09-13,122.25,121.5,4885400,3539,1
2019-09-16,124.860001,124.120003,10683900,3542,0
2019-09-17,124.120003,123.889999,7246500,3543,1
2019-09-18,123.550003,124.18,4801500,3544,0
2019-09-19,124.769997,123.660004,4034500,3545,1
2019-09-20,124.0,124.32,10420700,3546,1
2019-09-23,123.550003,124.900002,4705500,3549,0
2019-09-24,124.669998,123.739998,6232100,3550,0
2019-09-25,123.480003,123.510002,3762500,3551,0
2019-09-26,123.260002,120.160004,7834400,3552,0
2019-09-27,119.510002,118.599998,6850700,3553,0
2019-09-30,118.540001,118.599998,6108300,3556,0
2019-10-01,119.269997,116.010002,7116600,3557,0
2019-10-02,115.059998,112.290001,9702400,3558,1
2019-10-03,112.059998,113.150002,5315300,3559,1
2019-10-04,113.599998,113.849998,4757300,3560,0
2019-10-07,113.959999,113.260002,4694000,3563,0
2019-10-08,112.110001,111.709999,5323900,3564,1
2019-10-09,112.589996,113.139999,4601700,3565,1
2019-10-10,113.529999,114.589996,3555500,3566,1
2019-10-11,115.690002,116.150002,5134200,3567,1
2019-10-14,115.580002,116.18,2571300,3570,1
2019-10-15,115.849998,116.309998,3742700,3571,0
2019-10-16,116.230003,115.110001,3608900,3572,1
